CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL1984162	1305453	CHEMBL1984162	1305453		SID103904784	527.62	5.33	126.14	2	COCCOC1CCC(CC1)n2nc(c3ccc(Nc4oc5c(C)cc(C)cc5n4)cc3)c6c(N)ncnc26	9524242	Ki	=	39.81	nM	7.4	active			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1986186	1307477	CHEMBL1986186	1307477		SID103904939	273.33	1.24	71.09	0	CC(NC1=C(Nc2ccncc2)C(=O)C1=O)C(C)(C)C	9524247	Ki	>	1584.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1974664	1295955	CHEMBL1974664	1295955		SID103905525	347.37	4.1	84.42	0	COc1ccc(C=NNc2ncnc3c4ccccc4[nH]c23)cc1OC	9524252	Ki	>	1584.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1993374	1314665	CHEMBL1993374	1314665		SID103904936	297.81	3.7	90.97	0	CC(C)C(C)Nc1ncc(Cl)c(Nc2nccs2)n1	9532473	Ki	>	2511.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1991138	1312429	CHEMBL1991138	1312429		SID103905464	453.58	4.46	68.67	0	Nc1nccn2c(nc(c3cccc(OCc4ccccc4)c3)c12)C5CC(CN6CCCC6)C5	9532478	Ki	>	1584.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1989029	1310320	CHEMBL1989029	1310320		SID103905114	269.3	2.4	66.47	0	CC(C)OC1=NNC(=O)C1=Cc2c[nH]c3ccccc23	9532482	Ki	>	1584.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1965631	1286922	CHEMBL1965631	1286922		SID103904529	375.43	2.85	91.72	0	CN(C)CC(=O)Nc1n[nH]c2ccc(cc12)c3cn(Cc4ccccc4)nn3	9532486	Ki	>	1584.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL377408	353511	CHEMBL377408	353511		SID103905185	375.4	.61	169.57	0	CCOc1nc(cc(N)c1C#N)C(=O)NCc2ccccc2S(=O)(=O)N	9532490	Ki	>	2511.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1999484	1320775	CHEMBL1999484	1320775		SID103904405	381.5	3.03	106.24	0	CNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCNCC4)n2	9532503	Ki	=	31.62	nM	7.5	active			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL2002726	1324017	CHEMBL2002726	1324017		SID103904468	358.44	3.21	76.81	0	Cc1n[nH]c2ccc(cc12)c3cncc(OCC(N)Cc4ccccc4)c3	9532411	Ki	=	1258.93	nM	5.9	active			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1987054	1308345	CHEMBL1987054	1308345		SID103904785	548.04	5.51	126.14	2	COCCOC1CCC(CC1)n2nc(c3ccc(Nc4oc5c(Cl)cc(C)cc5n4)cc3)c6c(N)ncnc26	9532415	Ki	=	31.62	nM	7.5	active			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1991728	1313019	CHEMBL1991728	1313019		SID103905366	746.87	-.68	379.29	2	CC(=NNC(=N)N)c1cc(NC(=O)NCCCCCCNC(=O)Nc2cc(cc(c2)C(=NNC(=N)N)C)C(=NNC(=N)N)C)cc(c1)C(=NNC(=N)N)C	9532428	Ki	=	1000	nM	6	active			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
CHEMBL1975787	1297078	CHEMBL1975787	1297078		SID103905044	290.29	2.76	84.22	0	NC(=O)c1cc2c(cncc2s1)c3ccc(F)cc3F	9532431	Ki	>	1584.89	nM		inactive			BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	809141	CHEMBL1963693	F	PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: JAK2	7	PubChem BioAssays				Autocuration	BAO_0000224	10938	CHEMBL2971	SINGLE PROTEIN	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	8	Homologous protein			51887	CHEMBL1201862									
