CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL473420	475096	CHEMBL473420	475096	GSK-1030058A	GSK1030058A	492.47	5.54	100.05	1	COC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4cc(OC)c(OC)cc34	8211158	Inhibition	=	3.38	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL1909363	1249134	CHEMBL220241	365408	GSK-269962B	GSK269962B	570.6	3.39	155.68	1	Cl.CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N	8167236	Inhibition	=	4.42	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL1909372	1249143	CHEMBL1888322	1228893	GW700494A	GW700494A	585.6	5.26	97.54	2	Cl.CN1CCN(CCCNc2nc3ccc(Oc4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)cc3[nH]2)CC1	8162435	Inhibition	=	6.45	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL1909355	1249126	CHEMBL516375	456583	GW461104A	GW461104A	491.99	4.08	133.48	0	Cl.CS(=O)(=O)CCNCc1nc(cs1)c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2	8119954	Inhibition	=	2.86	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL220243	364136	CHEMBL220243	364136	GW406731X	GW406731X	283.32	3.25	59.42	0	COC(=O)c1cncc(\C=C\c2c(C)cc(O)cc2C)c1	8174271	Inhibition	=	2.46	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL187081	313270	CHEMBL187081	313270	PYRAZOLOPYRIDAZINE 1	GW810576X	318.33	2.81	77.23	0	COc1cccc(Nc2nccc(n2)c3cnn4ncccc34)c1	8124502	Inhibition	=	-.13	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL410072	440636	CHEMBL410072	440636	GW301784X	GW301784X	445.49	.82	171.36	0	CC(C)(CO)CNC(=O)c1ccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c2c1	8116140	Inhibition	=	1.29	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL1794072	1157703	CHEMBL1852436	1193115		SB-682330-A	453.53	5.18	71.09	1	Cl.CN(C)CCOc1ccc(cc1)c2oc(c3ccncc3)c(c2)c4ccc5C(=NO)CCc5c4	8129365	Inhibition	=	1.5	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL1909345	1249116	CHEMBL39300	59017		SB-686709-A	386.4	3.05	86.8	0	Cl.CCN1CCC(CC1)C(=O)Nc2n[nH]c3nnc(cc23)c4cccc(F)c4F	8130250	Inhibition	=	1.68	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
CHEMBL517666	489767	CHEMBL517666	489767	GW796921X	GW796921X	336.43	3.65	58.2	0	CCC(=O)Nc1ccc(C)c(c1)c2ccc(cc2)C(=O)NCC3CC3	8087386	Inhibition	=	2.44	%					BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	808708	CHEMBL1962116	B	GSK_PKIS: JAK1 mean inhibition at 0.1 uM [Nanosyn]	16	GSK Published Kinase Inhibitor Set				Autocuration	BAO_0000357	10919	CHEMBL2835	SINGLE PROTEIN	P23458	Tyrosine-protein kinase JAK1 	Homo sapiens	9	Protein			61374	CHEMBL1961873									
