"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL524266","Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1",6.84
"CHEMBL1957087","O=C(NCc1ccncc1)c1ncoc1-c1ccc(C(F)(F)F)cc1",5.2
"CHEMBL1957226","COc1cc(CNC(=O)c2ncoc2-c2ccc(OC)c(Cl)c2)ccn1",5.2
"CHEMBL1077233","CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccncc3)cc12",7.3
"CHEMBL1092802","CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3cccnc3)cc12",6.83
"CHEMBL400745","O=C(NCCc1ccccc1)c1ccc(O)c2[nH]c(-c3ccc(Cl)cc3Cl)nc12",6
"CHEMBL25829","CCn1sc(=O)n(CC)c1=O",4.6
"CHEMBL316512","O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ccccc2N1",5.3
"CHEMBL102714","Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21",7.32
"CHEMBL50","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12",5.7
"CHEMBL26274","Cn1sc(=O)n(-c2cccc3ccccc23)c1=O",5.52
"CHEMBL131254","O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCOCCn1cc2c2cccnc21",6.39
"CHEMBL99779","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1Cc1ccccc1",5
"CHEMBL3661031","Cc1cc(Nc2n[nH]c3ncc(F)cc23)nc(-c2ccccc2Cl)c1",7.52
"CHEMBL399078","CNc1cc(NCc2cccnc2)n2ncc(Br)c2n1",5.34
"CHEMBL575021","Cc1ccc(-c2ccc3occ(-c4ccc([S@@+](C)[O-])cc4)c3c2)o1",6.85
"CHEMBL3093041","O=c1cc(-c2ccncc2)nc(CCc2ccccc2)[nH]1",5.05
"CHEMBL2386090","O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12",9.7
"CHEMBL507249","O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1",5.72
"CHEMBL1834114","Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1",7.35
"CHEMBL490860","Cn1cc(C2=C(c3coc4ccc(F)cc34)C(=O)NC2=O)c2cc(I)ccc21",6.75
"CHEMBL491447","Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cccc(CO)c21",8.29
"CHEMBL3765061","O=C(/C=C(O)/C=C/c1ccc(OCc2ccccc2)cc1)/C=C/c1ccc(O)cc1",5.7
"CHEMBL578628","CCS(=O)(=O)c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1",7.42
"CHEMBL1834323","C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23",7.36
"CHEMBL337300","O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12",8.05
"CHEMBL3734985","COc1ccc2[nH]nc(C(=O)NCC3CCN(Cc4ccc(Cl)cc4Cl)CC3)c2c1",6.51
"CHEMBL296586","O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1",6.7
"CHEMBL4204026","O=C(COc1ccccc1)Nc1ccc(Oc2ccc3c(c2)C(=O)NC3=O)cc1",4.91
"CHEMBL513570","COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C(F)(F)F)c5)o4)cc32)cc1",8.6
"CHEMBL2206750","O=C1N=C(NCc2ccccc2)S/C1=C\c1ccc(O)cc1",7.57
"CHEMBL388978","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4",7.73
"CHEMBL405759","Nc1cccc(-c2cc3c(Oc4cccc(O)c4)ncnc3[nH]2)c1",7.52
"CHEMBL254961","Cc1ccc(C)c(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)c1",6.07
"CHEMBL471833","COc1ccc(-c2coc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc23)cc1",8.46
