CMPD_CHEMBLID	CANONICAL_SMILES	ACTIVITY_ID	Inhibition
CHEMBL1909396	Cl.COc1ccc(cc1)c2oc3ncnc(N)c3c2c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4	8223212	43.28
CHEMBL188240	CCOc1nccc2c1nc(c3nonc3N)n2CC	8210030	18.74
CHEMBL495771	C1CN(CCO1)c2ccc3c(cnn3n2)c4ccnc(NC5CC5)n4	8209670	-6.96
CHEMBL1909415	Cl.Fc1cccc(COc2ccc(Nc3ncnc4cc(sc34)c5ccc[nH]5)cc2Cl)c1	8188969	13.62
CHEMBL483748	NS(=O)(=O)c1ccc(cc1)c2cc3ccncc3cc2OCc4ccccc4	8205812	10.02
CHEMBL202891	COc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	8212658	7.4
CHEMBL512076	CCNC(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2	8183464	-0.58
CHEMBL1785003	NC(=O)CCc1ccccc1Oc2nccc(n2)c3c(ncn3C4CCNCC4)c5ccc(F)cc5	8118258	-4.73
CHEMBL1909391	Cl.[O-][S+]1CCN(Cc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(F)c5)c4c3)CC1	8081311	0.63
CHEMBL1909364	Cl.COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)cc2[nH]1	8108612	4.07
CHEMBL1909368	Cl.Fc1ccc(cc1NC(=O)Nc2ccc(Oc3ccc4[nH]c(NC(=O)c5occc5)nc4c3)cc2)C(F)(F)F	8154555	0.27
CHEMBL268885	COc1c(cc(cc1c2ccc(cc2)S(=O)(=O)N)c3ccc(Cl)cc3)C(=O)N	8122807	3.15
CHEMBL1909400	Cc1cccc(Oc2nccc(n2)c3c(ncn3C4CCNCC4)c5ccc(F)cc5)c1C.OC(=O)C(F)(F)F	8113801	4.81
CHEMBL1909377	Cl.C1Cc2nc(c3ccccn3)c(c4ccc5OCOc5c4)n2C1	8160112	4.78
CHEMBL1909360	Cl.CN(c1ccc(NC(=O)Nc2ccc(cc2)C(=O)N3CCN(C)CC3)cc1)c4ccnc(Nc5ccc(CS(=O)(=O)C)cc5)n4	8138207	20.58
CHEMBL212250	Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)c5oc(COCCS(=O)(=O)c6ccccc6)cc5)cc2Cl)c1	8113453	2.21
CHEMBL518953	NC(=O)c1sc(cc1OCc2ccccc2Br)n3cnc4ccccc34	8126305	3.98
CHEMBL405021	O=C(Nc1n[nH]c2cc(ccc12)c3ccccc3)C4CC4	8190350	7.69
CHEMBL1888586	Nc1nccc(n1)c2c(ncn2C3CCC(O)CC3)c4ccc(F)cc4	8164955	-2.41
CHEMBL261849	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1	8158112	-0.05
CHEMBL1909408	Cl.O=C(O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c3s2)N7CCOCC7	8125030	3.26
CHEMBL477978	Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)NC4CCCCC4	8119061	9.1
CHEMBL1785004	Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccnc(Oc5ccc(F)c(F)c5)n4	8122463	7.49
CHEMBL479079	COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC	8166924	66.54
CHEMBL157258	Oc1c(Cl)cc(NC2=C(C(=O)NC2=O)c3ccccc3Cl)cc1Cl	8169939	10.58
CHEMBL495902	Cc1ccc(cc1c2ccc3[nH]ncc3c2)C(=O)NC4CC4	8155619	-8.73
