"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL1076221",418.84,3.48,"Clc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1",500.0
"CHEMBL1077431",376.46,4.05,"Cc1cc(cc(C)c1O)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",88.0
"CHEMBL1077575",414.47,3.58,"O=C(CC#N)Nc1cccc(c1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",303.0
"CHEMBL1077842",476.56,2.37,"O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2",52.0
"CHEMBL1078159",414.47,2.98,"O=C(NCC#N)c1cccc(c1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",545.0
"CHEMBL1078166",414.47,3.58,"O=C(CC#N)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",10.0
"CHEMBL1078228",432.46,3.12,"Fc1cc(Nc2nccc(n2)c3ccc(cc3)C(=O)NCC#N)ccc1N4CCOCC4",116.0
"CHEMBL1078274",378.43,3.44,"COc1cc(ccc1O)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",3.0
"CHEMBL1078276",437.57,4.24,"CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(CN4CCCCC4)cc3)n2",11.0
"CHEMBL1078363",428.5,3.29,"Cc1cc(ccc1C(=O)NCC#N)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",65.0
"CHEMBL1078370",428.5,3.32,"CN(CC#N)C(=O)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",298.0
"CHEMBL1078688",453.57,3.22,"CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3cccc(CN4CCC(O)CC4)c3)n2",12.0
"CHEMBL1078720",458.57,4.25,"CCN(CC)CCCOc1ccc(Nc2nccc(n2)c3ccc(cc3)C(=O)NCC#N)cc1",166.0
"CHEMBL1078767",453.57,3.22,"CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(CN4CCC(O)CC4)cc3)n2",16.0
"CHEMBL1078889",487.61,2.49,"CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2",2.0
"CHEMBL1078934",427.51,2.89,"CN1CCN(CC1)c2ccc(Nc3nccc(n3)c4ccc(cc4)C(=O)NCC#N)cc2",41.0
"CHEMBL1078984",357.42,3.6,"N#Cc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",533.0
"CHEMBL1079078",439.54,3.22,"CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCC(O)CC4)n2",6.0
"CHEMBL1079121",482.47,4.0,"FC(F)(F)c1cc(Nc2nccc(n2)c3ccc(cc3)C(=O)NCC#N)ccc1N4CCOCC4",374.0
"CHEMBL1079525",384.4,2.83,"O=C1Nc2cnc(nc2N1C3CCOc4ccccc34)n5cnc6ccccc56",170.0
"CHEMBL1079593",420.38,3.11,"Fc1ccc2ncn(c3ncc4NC(=O)N([C@@H]5CCOc6c(F)cccc56)c4n3)c2c1",26.0
"CHEMBL1079689",347.42,3.31,"Nc1cccc(c1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",322.0
"CHEMBL1080110",402.39,2.97,"Fc1ccc2C(CCOc2c1)N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56",95.0
"CHEMBL1080151",434.48,3.06,"C[C@H](Nc1nc(Nc2ncc(C)s2)c(F)c(n1)N3CCOCC3)c4ncc(F)cn4",25.0
"CHEMBL1080322",370.8,2.46,"Clc1ccc2ncn(c3ncc4NC(=O)N(C5CCOCC5)c4n3)c2c1",393.0
"CHEMBL1080332",403.35,2.66,"Fc1cccc(CN2C(=O)Nc3cnc(nc23)n4cnc5ccc(cc45)C#N)c1F",270.0
"CHEMBL1080394",332.41,3.72,"C1CN(CCO1)c2ccc(Nc3nccc(n3)c4ccccc4)cc2",467.0
"CHEMBL1080411",377.45,3.31,"COc1cc(ccc1N)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2",16.0
"CHEMBL1080955",426.52,4.28,"Cc1nccn1Cc2ccc(cc2)c3ccnc(Nc4ccc(cc4)N5CCOCC5)n3",81.0
"CHEMBL1081190",402.39,2.97,"Fc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1",83.0
"CHEMBL1081291",410.86,5.92,"COc1cc(Nc2oc3c(cccc3n2)c4cccc(Cl)c4)cc(OC)c1OC",440.0
"CHEMBL1081376",418.84,3.48,"Clc1cccc2C(CCOc12)N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56",840.0
"CHEMBL1081379",436.83,3.62,"Fc1cccc2[C@@H](CCOc12)N3C(=O)Nc4cnc(nc34)n5cnc6ccc(Cl)cc56",56.0
"CHEMBL1081485",475.55,5.1,"COc1cc(Nc2oc3c(cccc3n2)c4ccc(CN5CCOCC5)cc4)cc(OC)c1OC",14.0
"CHEMBL1081664",484.56,4.72,"CN(C)C(=O)c1ccc(Nc2oc3c(cccc3n2)c4ccc(cc4)C(=O)N5CCOCC5)cc1C",8.0
"CHEMBL1081975",427.46,5.81,"COc1cc(Nc2oc3c(cccc3n2)c4ccc5ncccc5c4)cc(OC)c1OC",8.0
"CHEMBL1081977",469.52,4.64,"COc1cc(Nc2oc3c(cccc3n2)c4ccc(NS(=O)(=O)C)cc4)cc(OC)c1OC",5.0
"CHEMBL1082022",492.53,5.02,"CNC(=O)c1ccc(Nc2oc3c(cccc3n2)c4cc(F)c(CN5CCOCC5)c(F)c4)cc1C",5.0
"CHEMBL1087269",415.5,3.53,"C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCOCC3)c4ccc(F)cn4",5.0
"CHEMBL1088030",416.49,2.92,"C[C@H](Nc1nc(Nc2ncc(C)s2)cc(n1)N3CCOCC3)c4ncc(F)cn4",3.0
"CHEMBL1088856",499.57,4.77,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2",20.0
"CHEMBL1089773",515.61,4.83,"CN1CCN(CC1)c2ccc(cc2)c3cnc4cccc(c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3",4.3
"CHEMBL1089814",489.55,4.96,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)cc4F)c3n2",501.0
"CHEMBL1089833",519.62,4.22,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2",14.0
"CHEMBL1091565",485.54,4.46,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(cc4)C(=O)N5CCOCC5)c3n2",72.0
"CHEMBL1092588",471.56,4.82,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)cc4)c3n2",120.0
"CHEMBL1092925",564.66,3.62,"CN1CCN(CC1)c2ccc(cn2)c3cnc4cccc(c5cc(F)c(CN6CCS(=O)(=O)CC6)c(F)c5)c4n3",6.8
"CHEMBL1093119",544.6,4.86,"Cc1cc(ccc1C(=O)N2CCOCC2)c3cnc4cccc(c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3",3.1
"CHEMBL1093454",485.58,5.13,"COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)c(C)c4)c3n2",195.0
"CHEMBL1093749",465.53,3.9,"CNS(=O)(=O)c1ccc(cc1)c2cccc3ncc(nc23)c4cc(OC)c(OC)c(OC)c4",42.0
"CHEMBL1231124",348.77,3.01,"C[C@H](Nc1ncc(Cl)c(Nc2cc(C)n[nH]2)n1)c3ncc(F)cn3",58.0
"CHEMBL1287853",524.69,4.82,"Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc4cccc(c4)S(=O)(=O)NC(C)(C)C",3.0
"CHEMBL1289095",299.35,3.67,"CC(C)[C@H](C)Nc1nc2C=CNC(=O)c2c3cc(F)ccc13",27.0
