CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL382741	333873	CHEMBL382741	333873		5	374.48	4.18	65.28	0	CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3ccccc3C#N	2935444	IC50	=	.002	nM		IC50	=	.002	nM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	591456	CHEMBL1055308	B	Inhibition of DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			48507	CHEMBL1154613	19821575	J. Med. Chem.	2009	52	21	6599			
CHEMBL506098	507357	CHEMBL506098	507357	HYDROPEROXYCADIFORIN	250	773.13	12.64	97.74	2	CC(C)[C@H]1CC[C@@](C)(OO)[C@H]2CCC(=C[C@H]12)C[C@]3(CC=C(C)C)C(=O)[C@]4(CC=C(C)C)C[C@H](CC=C(C)C)[C@@](C)(CCC=C(C)C)[C@](C(=O)C(C)C)(C3=O)C4=O	2204531	IC50	=	.05	ug.mL-1		IC50	=	.05	ug ml-1			0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	532090	CHEMBL993303	B	Inhibition of dopamine uptake at DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			41886	CHEMBL1149799	17618015	Eur. J. Med. Chem.	2008	43	2	223			
CHEMBL422290	229357	CHEMBL422290	229357		3	411.6	4.07	80.14	0	CSCCSCCC(=O)OC[C@@H]1C2CCC(C[C@@H]1c3ccc(F)cc3)N2C	1075866	IC50	=	.227	nM	9.64	IC50	=	.227	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61515	CHEMBL671435	B	The compound was tested in vitro for high binding affinity for the Dopamine transporter (DAT) using competitive binding assay.	1	Scientific Literature				Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			14687	CHEMBL1131616	9804682	J. Med. Chem.	1998	41	23	4429			
CHEMBL494626	486605	CHEMBL1187242	661192		7b	419.58	5.05	3.24	1	Cl.CN1[C@H]2CC[C@@H]1[C@@H](C=C(Br)Br)[C@H](C2)c3ccc(Cl)cc3	2356551	IC50	=	.32	nM	9.49	IC50	=	.32	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	556593	CHEMBL958092	B	Displacement of [3H]WIN-35428 from dopamine transporter	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			42065	CHEMBL1150295	18434164	Bioorg. Med. Chem.	2008	16	10	5529			
CHEMBL1643896	1058611	CHEMBL1643896	1058611		2, RTI229	424.32	3.18	23.55	0	CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(I)cc3)C(=O)N4CCCC4	5126826	IC50	=	.37	nM	9.43	IC50	=	.37	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	700838	CHEMBL1646232	B	Inhibition of DAT	1	Scientific Literature				Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			54715	CHEMBL1641373	21146989	Bioorg. Med. Chem. Lett.	2011	21	1	38			
CHEMBL3673167	2006195	CHEMBL3673167	2006195		45	480.31	6.69	38.25	1	FC(F)(F)c1ccc(Oc2ccc3c(CN4CCC3(CC4)c5ccc(Cl)c(Cl)c5)c2)nn1	15854704	IC50	=	.7	nM	9.15	IC50	=	.7	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528405	CHEMBL3705745	B	BindingDB_Patents: Radioligand Binding Assay. Compounds were dissolved in 100% DMSO at a concentration 100 times the desired highest assay concentration, serially diluted 1:3 in 100% DMSO, and 0.4 ul/well of each solution was dispensed to a Nunc polypropylene, round bottom, 384-well plate. 100% inhibition is defined with 0.4 ul/well of 1 mM GBR-12935 dissolved in DMSO. 20 ul/well of a 2x membrane preparation (12.5 ug/ml in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) and 20 ul/well of a 2x radioligand solution (250 pM [125I]RTI-55 in 30 mM sodium phosphate buffer, pH 7.9 at 4 C.) were added to the well and the reaction incubated for 1 hour at room temperature. The contents of the assay plate were then transferred to a Millipore MultiscreenHTS GF/B filter plate which was pretreated with 0.5% PEI for at least one hour. The plate was vacuum-filtered and washed with 7 washes of 100 ul/well 50 mM Tris-Cl, pH 7.5, 120 mM NaCl, 5 mM KCl chilled to 4 C.	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000249	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	94895	CHEMBL3639048			2015						
CHEMBL606929	609426	CHEMBL606929	609426		(1S)-18a	344.23	2.82	49.77	0	COC(=O)[C@@H]1C(C[C@H]2C[C@@H](O)C1N2C)c3ccc(Cl)c(Cl)c3	757199	IC50	=	.76	nM	9.12	IC50	=	.76	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61359	CHEMBL673261	B	Inhibition of [3H]WIN-35428 binding to Dopamine transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			16050	CHEMBL1134553	11472216	J. Med. Chem.	2001	44	16	2619			
CHEMBL1683875	1074078	CHEMBL1683875	1074078		15	300.27	5.49	3.24	1	CCN(C)CC1(CCCCC1)c2ccc(Cl)c(Cl)c2	5238209	IC50	=	1	nM	9	IC50	=	1	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	726928	CHEMBL1686717	B	Inhibition of human recombinant dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	55746	CHEMBL1681686	21310609	Bioorg. Med. Chem. Lett.	2011	21	5	1438			
CHEMBL86590	142189	CHEMBL86590	142189		26	358.26	3.17	49.77	0	CCOC(=O)C1C(CC2C[C@@H](O)C1N2C)c3ccc(Cl)c(Cl)c3	762611	IC50	=	1.1	nM	8.96	IC50	=	1.1	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61359	CHEMBL673261	B	Inhibition of [3H]WIN-35428 binding to Dopamine transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			16050	CHEMBL1134553	11472216	J. Med. Chem.	2001	44	16	2619			
CHEMBL281288	35673	CHEMBL281288	35673		2	261.79	4.09	3.24	0	CN1C2CCC1[C@@H](C=C)[C@H](C2)c3ccc(Cl)cc3	190520	IC50	=	1.2	nM	8.92	IC50	=	1.2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	62805	CHEMBL674118	B	Ability to displace [3H]-Mazindol from dopamine receptor	1	Scientific Literature				Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			665	CHEMBL1159182		Bioorg. Med. Chem. Lett.	1993	3	6	1327			
